sequenceId,entityId,ParameterKey,ParameterValue
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,78,name,ThomasM
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,78,webpa,1.06
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,78,Sex,M
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,78,Nationality,United Kingdom
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,76,name,KatherineB
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,76,webpa,1.06
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,76,Sex,F
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,76,Nationality,United Kingdom
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,77,name,LiamQ
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,77,webpa,1.06
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,77,Sex,M
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,77,Nationality,United Kingdom
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,74,name,JamieI
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,74,webpa,1.06
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,74,Sex,M
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,74,Nationality,United Kingdom
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,79,name,XinyuY
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,79,webpa,0.71
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,79,Sex,M
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,79,Nationality,China
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,75,name,JosephL
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,75,webpa,1.06
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,75,Sex,M
1_22E;2_22E;3_22E;4_22E;5_22E;6_22E,75,Nationality,United Kingdom
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,80,name,AndreiC
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,80,webpa,0.86
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,80,Sex,M
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,80,Nationality,Romania
1_22F;2_22F;5_22F;6_22F,85,name,MihirM
1_22F;2_22F;5_22F;6_22F,85,webpa,1.03
1_22F;2_22F;5_22F;6_22F,85,Sex,M
1_22F;2_22F;5_22F;6_22F,85,Nationality,United Kingdom
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,81,name,BenA
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,81,webpa,1.0
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,81,Sex,M
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,81,Nationality,United Kingdom
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,84,name,MohyeldinH
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,84,webpa,1.04
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,84,Sex,M
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,84,Nationality,Egypt
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,82,name,JamesK
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,82,webpa,0.98
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,82,Sex,M
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,82,Nationality,United Kingdom
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,83,name,MatthewG
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,83,webpa,0.96
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,83,Sex,M
1_22F;2_22F;3_22F;4_22F;5_22F;6_22F,83,Nationality,United Kingdom
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,87,name,MarkW
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,87,webpa,1.02
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,87,Sex,M
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,87,Nationality,United Kingdom
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,90,name,ThomasC
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,90,webpa,1.03
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,90,Sex,M
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,90,Nationality,United Kingdom
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,88,name,MayankR
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,88,webpa,0.98999
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,88,Sex,M
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,88,Nationality,United Kingdom
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,86,name,MihikaA
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,86,webpa,1.02
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,86,Sex,F
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,86,Nationality,United Kingdom
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,89,name,XiangfeiM
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,89,webpa,0.98
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,89,Sex,M
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,89,Nationality,China
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,91,name,TingweiL
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,91,webpa,0.95
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,91,Sex,M
1_23A;2_23A;3_23A;4_23A;5_23A;6_23A,91,Nationality,China
1_23B;2_23B;3_23B;4_23B;5_23B;6_23B,94,name,LiamO
